Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Links_Pointing,Label
graphicriver.net,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0
ecnavi.jp,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0
hubpages.com,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
extratorrent.cc,0,0,1,3,0,0,0,0,0,0,0,1,0,0,1,0,1,0
icicibank.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0,0
nypost.com,0,0,1,4,0,0,1,0,0,1,1,1,0,0,1,0,0,0
kienthuc.net.vn,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,0,0
thenextweb.com,0,0,1,6,0,0,0,0,0,1,0,0,0,0,1,0,1,0
tobogo.net,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,1,0
akhbarelyom.com,0,0,1,5,0,0,0,0,0,1,1,1,0,0,1,0,0,0
