Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Links_Pointing,Label
confirmprofileaccount.com,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
marreme.com,0,0,0,2,0,0,0,0,1,1,1,1,0,0,1,0,1,1
modsecpaststudents.com,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1
docs.google.com,0,0,1,5,0,0,0,0,1,1,1,1,0,0,1,0,0,1
oportunidadedasemana.com,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
villashippingtradingpv-my.sharepoint.com,0,0,1,5,0,0,1,1,1,1,1,1,0,0,1,0,1,1
ikonikcommercialgroup.com,0,0,1,5,0,0,0,0,1,1,1,1,1,1,1,1,1,1
fareast.qa,0,0,1,3,0,0,0,0,1,1,1,1,1,1,1,1,1,1
kassa.click,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,1,1,1
storage.googleapis.com,0,1,1,3,0,0,1,0,1,1,1,1,0,0,1,0,1,1
