Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
mic.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
showmore.a3579.com,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1
labanuepostale.yj.fr,0,0,1,3,0,0,0,0,0,0,0,1,1,1,1,1,1
squarespace.com,0,0,1,5,0,0,0,0,0,1,1,1,0,0,1,1,0
stackoverflow.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
quizlet.com,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0
bigcinema.tv,0,0,1,2,0,0,0,0,0,1,0,1,1,1,1,1,0
seekingalpha.com,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0
icloudocean.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
askubuntu.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
bitly.com,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1
thenextweb.com,0,0,1,6,0,0,0,0,0,1,0,0,0,0,1,0,0
kenh14.vn,0,0,1,2,0,0,0,0,1,1,1,1,0,0,1,0,0
docs.google.com,0,0,1,5,0,0,0,0,0,1,1,1,0,0,1,0,1
9gag.tv,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0
500px.com,0,0,1,3,0,0,1,0,0,1,0,0,0,0,1,0,0
vnexpress.net,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,1,0
alsapan-epi.com,0,0,1,4,0,0,0,1,0,1,0,0,0,0,1,0,1
count.mail.163.com.jutin.tk,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1
thenextweb.com,0,0,1,6,0,0,0,0,0,1,0,0,0,0,1,0,0
paxfulviet.com,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1
ryancrosbyyoga.com,0,0,1,4,0,0,0,0,0,1,1,0,0,0,1,0,1
distractify.com,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,1,0
vinkaellaren.se,0,0,1,9,0,0,0,0,0,1,0,1,1,0,1,0,1
dailyexclusiveoffer.com,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,1
mic.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
eliotecae-my.sharepoint.com,0,0,1,7,0,0,1,1,0,1,1,1,0,0,1,0,1
espaceclientv1.fr,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,1
starmak.com.tr,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1
mic.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
rusnod.ru,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
promocaodasemana.com,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,1
serverinfo1policy.blogspot.com,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,1
heartstrongyoga.com,0,0,0,3,0,0,0,0,0,1,0,1,0,0,1,0,1
wpengine.com,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,0
wriot-alternate.app.link,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1
olx.co.id,0,0,1,5,0,0,1,0,0,1,0,0,0,0,1,1,0
csgoxskin.com,0,0,1,2,1,0,0,0,0,1,0,0,0,0,1,0,1
cox.com,0,0,1,4,0,0,1,0,0,1,1,1,0,0,1,0,0
activelogisticsltd.com,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0,1
otomoto.pl,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,0
comprasoatco.com,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
davinci-studia.ru,0,1,1,4,0,0,0,1,0,1,0,1,0,0,1,0,1
twitter.com,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0
bestblackhatforum.com,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0
syosetu.com,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,0
stackexchange.com,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0,0
allegro.pl,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0
canceraidsociety.org,0,0,0,3,0,0,0,0,0,1,0,1,0,0,1,0,1
kienthuc.net.vn,0,0,1,2,0,0,0,0,1,1,1,1,0,0,1,0,0
fotovideografie.ro,0,0,0,4,0,0,0,0,0,1,0,0,0,0,1,0,1
mashable.com,0,0,1,6,0,0,0,0,0,1,1,1,0,0,1,0,0
dzd.rksmb.org,0,0,1,5,0,0,1,0,0,0,0,1,0,0,1,0,1
girlsgettinggoals.com,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,1
seekthemes.com,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
medium.com,0,1,1,2,0,0,0,0,0,1,0,1,0,0,1,0,0
xvideo-jp.com,0,0,1,5,0,0,0,1,0,1,0,1,0,0,1,0,0
nef.com.pk,0,0,1,8,0,0,0,0,0,1,1,1,0,0,1,0,1
mmagaluofertashoje.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
digg.com,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0,0
pd-iskra-lj.si,0,0,1,5,0,0,0,1,0,0,0,1,1,0,1,0,1
patch.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
otomoto.pl,0,0,1,5,0,0,0,0,0,1,1,1,0,0,1,1,0
gaughrith.com,0,1,1,6,0,0,0,0,0,1,0,0,0,0,1,0,1
rojaspaint.com,0,0,1,5,0,0,1,0,0,1,1,1,0,0,1,0,1
bolozindagi.com,0,0,1,4,0,0,0,0,0,0,0,1,0,0,1,0,1
sourceforge.net,0,0,1,3,0,0,0,0,1,1,1,1,0,0,1,0,0
web.de,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,0
metrological-focus.000webhostapp.com,0,0,1,4,0,0,0,1,0,1,0,0,0,0,1,0,1
mic.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
taboola.com,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,1,0
udn.com,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0,0
egyphar.net,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,1
feciusa-my.sharepoint.com,0,0,1,5,0,0,1,1,0,1,1,1,0,0,1,0,1
goeft.co.za,0,0,0,3,0,0,1,0,0,0,1,1,0,0,1,0,1
smartdms.in,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1
otomoto.pl,0,0,1,7,0,0,0,0,0,1,1,1,0,0,1,1,0
seekingalpha.com,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0
variety.com,0,0,1,5,0,0,0,0,0,1,0,0,0,0,1,0,0
623112j4j3.codesandbox.io,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
hubpages.com,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0,0
ebay.item-23949.co.uk,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1
evernote.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
umattr.info,0,0,1,6,0,0,0,0,0,1,0,0,0,0,1,0,1
metro.co.uk,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,0
bdnews24.com,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,0
enigreen.net,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,1
themeforest.net,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,0
tylerdeveraux.com,0,0,0,3,0,0,1,0,0,1,0,1,1,1,1,1,1
codecanyon.net,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,1,0
indeedcontract.com,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1
kotaku.com,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0
thenextweb.com,0,0,1,5,0,0,0,0,0,1,0,0,0,0,1,0,0
motthegioi.vn,0,0,1,2,0,0,0,0,1,1,1,1,0,0,1,0,0
web.de,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,0
c1781279.ferozo.com,0,0,0,3,0,0,0,0,0,1,0,1,1,1,1,1,1
allegro.pl,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,0
hamt.jp,0,0,1,7,0,0,0,0,0,1,1,1,0,0,1,0,1
esapcepro-org.com,0,0,1,4,0,0,0,1,0,1,1,1,0,0,1,0,1
209.99.16.16,1,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0,1
kienthuc.net.vn,0,0,1,2,0,0,0,0,1,1,1,1,0,0,1,0,0
codepen.io,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0,0
yourlust.com,0,0,1,2,0,0,1,0,0,1,1,1,0,0,1,0,0
the100prosystems.com,0,0,1,8,0,0,0,0,0,1,0,0,1,0,1,0,1
censor.net.ua,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
steamproxy.net,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,1
mylust.com,0,0,1,3,0,0,1,0,0,1,1,1,0,0,1,0,0
caspianglobalservices.com,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,1
kickass.to,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0
bdnews24.com,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,0
honda4fun.com,0,0,0,2,0,0,0,0,0,1,1,1,0,0,1,0,1
extratorrent.cc,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
lankeshpatrike.com,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,1
